Year,Series,concept.REF_AREA,Units,Value
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,52.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,45.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,34.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,48.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG11,CL_UNIT_MEASURE.NUMBER,31.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,81.7
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,5.5
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,6.1
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.8
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.3
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.3
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.8
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,4.2
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,2.7
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,209.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,14.0
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,16.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,10.0
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,9.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,9.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,5.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,12.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG21,CL_UNIT_MEASURE.NUMBER,8.0
